Sport,Leader_NOC,Dominanza
3x3 Basketball,USA,0.166667
Aeronautics,SUI,1.0
Alpinism,GER,0.5
Archery,KOR,0.217918
Art Competitions,GER,0.167742
Artistic Gymnastics,USA,0.203125
Artistic Swimming,CHN,0.333333
Athletics,USA,0.269719
Badminton,CHN,0.384259
Baseball,CUB,0.333333
Baseball/Softball,USA,0.333333
Basketball,USA,0.31807
Basque Pelota,ESP,1.0
Beach Volleyball,BRA,0.291667
Boxing,USA,0.113462
Breaking,USA,0.166667
Canoe Slalom,GER,0.2
Canoe Sprint,HUN,0.179687
Canoeing,GER,0.140034
Cricket,GBR,0.875
Croquet,FRA,1.0
Cycling,GBR,0.144101
Cycling BMX Freestyle,GBR,0.25
Cycling BMX Racing,FRA,0.25
Cycling Mountain Bike,SUI,0.363636
Cycling Road,NED,0.25
Cycling Track,GBR,0.244048
Diving,USA,0.294589
Equestrian,GBR,0.284091
Equestrianism,GER,0.148187
Fencing,ITA,0.201248
Figure Skating,GBR,0.37037
Football,BRA,0.098522
Golf,USA,0.706897
Gymnastics,URS,0.12766
Handball,FRA,0.101043
Hockey,NED,0.177215
Ice Hockey,USA,0.407407
Jeu De Paume,GBR,0.666667
Judo,JPN,0.169987
Karate,TUR,0.125
Lacrosse,CAN,0.6
Marathon Swimming,HUN,0.25
Modern Pentathlon,HUN,0.20202
Motorboating,GBR,0.857143
Polo,GBR,0.447761
Racquets,GBR,1.0
Rhythmic Gymnastics,RUS,0.267857
Roque,USA,1.0
Rowing,USA,0.120012
Rugby,FRA,0.302469
Rugby Sevens,FIJ,0.230435
Sailing,GBR,0.11635
Shooting,USA,0.155056
Skateboarding,JPN,0.375
Softball,USA,0.335196
Sport Climbing,USA,0.166667
Surfing,BRA,0.25
Swimming,USA,0.347751
Synchronized Swimming,RUS,0.251163
Table Tennis,CHN,0.45614
Taekwondo,KOR,0.123153
Tennis,GBR,0.17268
Trampoline Gymnastics,CHN,0.416667
Trampolining,CHN,0.366667
Triathlon,GBR,0.25
Tug-Of-War,GBR,0.347826
Volleyball,USA,0.141197
Water Polo,HUN,0.163232
Weightlifting,CHN,0.097765
Wrestling,USA,0.100279
